Región,Productos seleccionados,Unidad de medida,Período,Precio,Año,Mes,Orden_Periodo
Pampeana,Detergente líquido,750 cc,Año 2017 - Agosto,22.47,2017,Agosto,201708.0
Pampeana,Lavandina,1.000 cc,Año 2017 - Agosto,14.84,2017,Agosto,201708.0
Pampeana,Jabón de tocador,125 g,Año 2017 - Agosto,14.68,2017,Agosto,201708.0
Noreste,Pan francés,kg,Año 2017 - Agosto,29.07,2017,Agosto,201708.0
Noreste,Harina de trigo común,kg,Año 2017 - Agosto,10.94,2017,Agosto,201708.0
Noreste,Arroz blanco simple,kg,Año 2017 - Agosto,20.37,2017,Agosto,201708.0
Noreste,Fideos secos tipo guisero,500 g,Año 2017 - Agosto,14.57,2017,Agosto,201708.0
Noreste,Carne picada común,kg,Año 2017 - Agosto,72.24,2017,Agosto,201708.0
Noreste,Pollo entero,kg,Año 2017 - Agosto,37.29,2017,Agosto,201708.0
Noreste,Aceite de girasol,"1,5 litros",Año 2017 - Agosto,53.34,2017,Agosto,201708.0
Noreste,Leche fresca entera sachet,Litro,Año 2017 - Agosto,23.25,2017,Agosto,201708.0
Noreste,Huevos de gallina,Docena,Año 2017 - Agosto,29.27,2017,Agosto,201708.0
Noreste,Papa,kg,Año 2017 - Agosto,13.23,2017,Agosto,201708.0
Noreste,Azúcar,kg,Año 2017 - Agosto,18.01,2017,Agosto,201708.0
Noreste,Detergente líquido,750 cc,Año 2017 - Agosto,20.67,2017,Agosto,201708.0
Noreste,Lavandina,1.000 cc,Año 2017 - Agosto,15.81,2017,Agosto,201708.0
Noreste,Jabón de tocador,125 g,Año 2017 - Agosto,14.49,2017,Agosto,201708.0
Noroeste,Pan francés,kg,Año 2017 - Agosto,33.25,2017,Agosto,201708.0
Noroeste,Harina de trigo común,kg,Año 2017 - Agosto,10.59,2017,Agosto,201708.0
Noroeste,Arroz blanco simple,kg,Año 2017 - Agosto,19.16,2017,Agosto,201708.0
Noroeste,Fideos secos tipo guisero,500 g,Año 2017 - Agosto,13.78,2017,Agosto,201708.0
Noroeste,Carne picada común,kg,Año 2017 - Agosto,82.43,2017,Agosto,201708.0
Noroeste,Pollo entero,kg,Año 2017 - Agosto,37.48,2017,Agosto,201708.0
Noroeste,Aceite de girasol,"1,5 litros",Año 2017 - Agosto,52.96,2017,Agosto,201708.0
Noroeste,Leche fresca entera sachet,Litro,Año 2017 - Agosto,22.58,2017,Agosto,201708.0
Noroeste,Huevos de gallina,Docena,Año 2017 - Agosto,30.47,2017,Agosto,201708.0
Noroeste,Papa,kg,Año 2017 - Agosto,11.21,2017,Agosto,201708.0
Noroeste,Azúcar,kg,Año 2017 - Agosto,16.54,2017,Agosto,201708.0
Noroeste,Detergente líquido,750 cc,Año 2017 - Agosto,23.92,2017,Agosto,201708.0
Noroeste,Lavandina,1.000 cc,Año 2017 - Agosto,15.18,2017,Agosto,201708.0
Noroeste,Jabón de tocador,125 g,Año 2017 - Agosto,15.05,2017,Agosto,201708.0
Cuyo,Pan francés,kg,Año 2017 - Agosto,28.82,2017,Agosto,201708.0
Cuyo,Harina de trigo común,kg,Año 2017 - Agosto,10.46,2017,Agosto,201708.0
Cuyo,Arroz blanco simple,kg,Año 2017 - Agosto,19.27,2017,Agosto,201708.0
Cuyo,Fideos secos tipo guisero,500 g,Año 2017 - Agosto,18.54,2017,Agosto,201708.0
Cuyo,Carne picada común,kg,Año 2017 - Agosto,73.72,2017,Agosto,201708.0
Cuyo,Pollo entero,kg,Año 2017 - Agosto,36.91,2017,Agosto,201708.0
Cuyo,Aceite de girasol,"1,5 litros",Año 2017 - Agosto,49.39,2017,Agosto,201708.0
Cuyo,Leche fresca entera sachet,Litro,Año 2017 - Agosto,24.04,2017,Agosto,201708.0
